date,tsla,aptv
2020-07-20,328.600006,81.940002
2020-07-21,313.671997,81.870003
2020-07-22,318.466003,82.720001
2020-07-23,302.614014,82.330002
2020-07-24,283.399994,82.25
2020-07-27,307.920013,83.550003
2020-07-28,295.298004,82.169998
2020-07-29,299.821991,83.669998
2020-07-30,297.497986,80.459999
2020-07-31,286.152008,77.75
2020-08-03,297,79.720001
2020-08-04,297.399994,81.019997
2020-08-05,297.003998,83.839996
2020-08-06,297.915985,84.529999
2020-08-07,290.541992,83.860001
2020-08-10,283.713989,86.440002
2020-08-11,274.877991,88.839996
2020-08-12,310.951996,89.5
2020-08-13,324.200012,88.629997
2020-08-14,330.141998,88.339996
2020-08-17,367.127991,88.160004
2020-08-18,377.417999,87.239998
2020-08-19,375.705994,85.419998
2020-08-20,400.365997,84.489998
2020-08-21,409.996002,83.879997
2020-08-24,402.839996,85.5
2020-08-25,404.667999,85.360001
2020-08-26,430.634003,85.440002
2020-08-27,447.75,85.339996
2020-08-28,442.679993,87.25
2020-08-31,498.320007,86.120003
2020-09-01,475.049988,87.050003
2020-09-02,447.369995,90
2020-09-03,407,86.760002
2020-09-04,418.320007,86.209999
2020-09-08,330.209991,84.660004
2020-09-09,366.279999,85.650002
2020-09-10,371.339996,84.089996
2020-09-11,372.720001,84.550003
2020-09-14,419.619995,85.889999
2020-09-15,449.76001,86.010002
2020-09-16,441.76001,84.970001
2020-09-17,423.429993,83.290001
2020-09-18,442.149994,88.949997
2020-09-21,449.390015,84.559998
2020-09-22,424.230011,84.510002
2020-09-23,380.359985,83.949997
2020-09-24,387.790009,84.330002
2020-09-25,407.339996,86.400002
2020-09-28,421.200012,90.029999
2020-09-29,419.070007,91.919998
2020-09-30,429.01001,91.68
2020-10-01,448.160004,93.959999
2020-10-02,415.089996,93.559998
2020-10-05,425.679993,97.199997
2020-10-06,413.980011,94.480003
2020-10-07,425.299988,99.190002
2020-10-08,425.920013,97.970001
2020-10-09,434,98.059998
2020-10-12,442.299988,98.260002
2020-10-13,446.649994,96.07
2020-10-14,461.299988,95.739998
2020-10-15,448.880005,97.68
2020-10-16,439.670013,98.199997
2020-10-19,430.829987,99.400002
